Date;Horizon;M_S7_Moisture;M_S7_Temperature;M_S7_Salinity;M_S8_Moisture;M_S8_Temperature;M_S8_Salinity;M_S9_Moisture;M_S9_Temperature;M_S9_Salinity;T_S10_Moisture;T_S10_Temperature;T_S10_Salinity;T_S11_Moisture;T_S11_Temperature;T_S11_Salinity;T_S12_Moisture;T_S12_Temperature;T_S12_Salinity
20150404;15;9.94;18;1.5;15.35;19;2.2;31.85;18.6;2.5;25.54;17.5;1.5;29.65;17.1;2.2;21.35;16.9;1.5
20150404;30;7.18;18.1;1;20.22;18.9;1.9;29.02;18.5;2.3;23.57;17.4;1.5;28.11;17.1;2.6;20.14;16.9;1.1
20150404;45;16.19;18.3;0.7;25.44;19;1.5;28.22;18.5;2;25.47;17.5;2;26.12;17.2;1.8;24.02;16.8;1.5
20150404;60;14.51;18.5;1.4;24.37;18.9;1.9;26.45;18.3;2.2;26.67;17.4;2.2;27.62;17.1;1.8;29.06;16.8;2.5
20150404;75;16.67;18.5;1.4;23.89;18.9;2;22.16;18.4;2.3;28.85;17.3;2.4;28.92;17.3;2.4;28.95;16.7;2.6
20150404;90;15.68;18.6;2.2;24.44;18.8;2.2;24.63;18.2;2.3;30.03;17.3;2.7;30.48;17.1;2.4;20.44;16.8;2.3
20150404;105;25.7;18.7;1.9;24.34;18.8;2.3;28.21;18.1;1.9;30.21;17.4;2.9;28.75;17;2.4;20.44;16.8;2.3
20150404;120;25.46;18.8;1.8;26.11;18.8;2.3;30.06;18.1;2.3;32.64;17.2;3;31.83;17;2.5;27.95;16.7;2.2
20150404;135;18.77;18.9;2;27.8;18.7;1.9;29.61;18.1;1.9;25.84;17.3;1.7;28.62;17;2.1;29.26;16.7;2.8
20150404;150;19.16;18.9;2;29.41;18.6;2;29.8;18;1.9;25.37;17.2;1.6;28.59;16.9;2;29.17;16.5;2.8
20150406;15;8.23;26.5;1.3;28.53;25.1;2.3;29.31;23.8;2.3;26.24;22.7;2.9;22.28;21.7;1.6;14.64;20.9;1.5
20150406;30;7.63;26.4;0.8;26.83;24.9;2.4;28.96;23.7;2.8;27.25;22.7;2.5;22.53;21.7;1.4;11.31;20.9;0.8
20150406;45;21.11;26.3;2.3;25.15;24.9;2.1;26.85;23.7;2.4;25;22.7;1.8;20.9;21.5;1;19.44;21;1.1
20150406;60;17.15;26.3;2.4;23.24;24.7;1.7;25.35;23.5;2.4;26.4;22.6;1.8;27.04;21.5;1.8;27.6;20.9;2.5
20150406;75;17.93;26.2;2;24.21;24.5;2.1;23.12;23.5;1.8;29.14;22.6;2.7;27.21;21.5;2.3;27.68;21;2.5
20150406;90;18.17;26.1;1.9;23.82;24.5;1.8;24.29;23.4;1.7;29.38;22.5;2.6;28.9;21.3;2.2;28.49;20.9;2.6
20150406;105;26.02;26;2;24.17;24.4;1.6;27.72;23.3;2.4;31.66;22.4;2.9;28.28;21.3;2.3;20.29;20.8;2.2
20150406;120;25.97;25.9;1.9;25.35;24.2;1.5;29.64;23.1;2.5;33.02;22.3;2.9;30.96;21.3;2.6;27.32;20.8;2.4
20150406;135;19.6;25.8;2;27.01;24.1;1.5;30.03;23;2.3;27.19;22.2;2;28.6;21.2;2.1;27.79;20.8;2.6
