Date;Horizon;M_S7_Moisture;M_S7_Temperature;M_S7_Salinity;M_S8_Moisture;M_S8_Temperature;M_S8_Salinity;M_S9_Moisture;M_S9_Temperature;M_S9_Salinity;T_S10_Moisture;T_S10_Temperature;T_S10_Salinity;T_S11_Moisture;T_S11_Temperature;T_S11_Salinity;T_S12_Moisture;T_S12_Temperature;T_S12_Salinity
20150429;15;22.42;27.1;2;14.6;28.1;1.8;9.39;28.4;1.8;19.57;28.3;2.1;19.38;28;2.1;22.13;27.8;2.2
20150429;30;24.48;27.3;2.3;12.04;28.2;2;13.88;28.4;1.1;17.18;28.3;1.5;24.36;28;2.5;14.64;27.8;2.3
20150429;45;28.13;27.3;3.3;11.86;28.3;2.3;15.28;28.5;0.9;15.41;28.3;1.8;25.64;28.1;2.4;10.97;27.9;1.9
20150429;60;31.78;27.4;3.9;19.45;28.3;2.3;17.07;28.4;1.2;15.28;28.3;2.3;22.59;27.9;1.5;12.16;27.9;1.2
20150429;75;28.81;27.5;3.2;22.57;28.3;1.9;13;28.4;1.1;17;28.2;3.3;12.24;28;1.4;12.6;27.9;1.3
20150429;90;27.97;27.6;3.5;10.22;28.4;1.5;6.86;28.5;1.5;13.99;28.3;3.3;17.84;27.9;2;29.63;27.8;2.9
20150429;105;30.96;27.7;3.5;5;28.4;1;1.97;28.4;1.7;9.49;28.2;3.3;26.51;27.9;2.3;37.31;27.9;3.6
20150429;120;30.82;27.8;3.2;11.29;28.5;1.7;2.29;28.4;1.8;3.78;28.2;2.3;26.75;27.9;2.4;36.9;27.9;3.2
20150429;135;30.27;27.8;3.3;13.21;28.4;2;9.14;28.4;2.4;8.95;28.1;2.1;28.15;27.8;2.5;40.1;27.9;3.3
20150429;150;30.68;27.9;3.3;11.93;28.4;1.9;9.13;28.4;2.5;9.12;28.1;2.1;28.4;27.8;2.5;40.57;27.8;3.4
20150502;15;22.84;29.6;2;14.4;29.4;1.8;12.59;29.1;1.6;20.68;28.9;2.7;21.62;28.5;2.2;20.26;28.2;1.9
20150502;30;24.67;29.5;2.4;10.12;29.4;1.7;16.88;29.2;1.4;20.96;28.9;1.9;23.08;28.5;2.2;17.25;28.2;1.3
20150502;45;28.07;29.6;3.4;10.17;29.4;2.2;16.42;29.2;1.1;19.93;28.9;2.1;24.17;28.5;2;17.19;28.2;1.8
20150502;60;31.66;29.6;4;20.82;29.5;2.5;15.35;29.2;1;16.62;28.9;2.5;20.44;28.6;1.3;14.88;28.2;2.5
20150502;75;28.79;29.5;3.3;20.02;29.4;1.8;9.84;29.2;0.7;16.08;28.9;3.6;12.07;28.5;1.5;13.47;28.2;1.5
20150502;90;28.06;29.5;3.6;9.84;29.3;1.4;4.81;29.1;1.3;13.47;28.8;3.6;19.64;28.5;2.1;29.33;28.2;2.9
20150502;105;31.66;29.5;3.7;4.42;29.3;0.9;0.14;29;1.6;8.18;28.7;3.3;27.4;28.5;2.3;37.84;28.2;3.7
20150502;120;31.4;29.5;3.5;11.36;29.4;1.7;4.97;29;2.1;5.24;28.8;2.4;27.96;28.5;2.5;38.22;28.1;3.6
20150502;135;31.13;29.5;3.4;13.58;29.3;2;9.22;29;2.5;9.66;28.7;2.1;29.13;28.4;2.8;42.4;28.1;3.5
20150502;150;31.34;29.5;3.4;12.73;29.2;1.9;9.42;29;2.5;10.51;28.6;2.2;29.52;28.3;2.9;42.43;28.1;3.5
20150505;15;21.88;29.9;2.3;14.3;30.4;1.5;9.58;30.5;1.7;21.23;30.3;2.7;21.78;30;2.4;21.91;30;2
20150505;30;25.26;29.9;2.9;11.56;30.5;1;16.1;30.6;1.3;21.76;30.4;1.8;23.6;30.2;2.3;16.36;30.1;1.2
20150505;45;27.94;30;3.5;10.28;30.5;0.6;20.89;30.6;1.9;23.12;30.3;2.2;24.68;30.1;2.2;15.74;30.2;1.5
20150505;60;30.92;30.1;3.7;19.79;30.5;2;24.19;30.6;2.2;21.79;30.3;2.3;23.7;30.1;2;14.68;30.1;2.3
20150505;75;27.94;30.1;3;25.44;30.5;2.6;16.76;30.5;3;21.19;30.3;3;13.08;30.2;1.9;13.89;30.1;2.3
20150505;90;27.78;30.1;3.4;13.29;30.6;2.3;5.81;30.6;2;13.77;30.3;2.4;20.88;30.1;1.9;29.53;30.1;3.3
20150505;105;31.73;30.2;3.6;6.47;30.6;1.9;1.75;30.6;1.5;12;30.2;2;28.08;30.1;2.4;36.93;30.1;3.6
20150505;120;30.65;30.3;3.1;12.79;30.5;1.5;2.07;30.5;1.1;3.13;30.1;1.2;28.26;30.1;2.3;36.97;30.1;3.4
20150505;135;29.1;30.3;2.5;17.36;30.6;2.2;10.33;30.5;0.9;13.11;30.2;2;28.53;30;2.6;39.63;30.1;3.4
20150505;150;29.78;30.3;2.6;16.78;30.5;2.2;11.68;30.5;0.9;13.39;30.1;2;28.59;30.1;2.6;38.42;30.1;3.3
20150511;15;22.48;27;2.1;13.82;26.9;1.8;16.99;27;1.5;19.26;27.4;2.2;22.68;27.6;2.5;21.47;27.3;2.2
20150511;30;24.01;26.9;2.4;15.02;26.9;2;21.34;27;2.2;18.01;27.5;1.8;25.05;27.5;2.8;25.17;27.4;2.8
20150511;45;28.15;26.9;3.5;15.72;26.8;2.5;25.03;26.9;3;14.58;27.6;1.3;25.37;27.5;2.5;27.07;27.3;3.2
20150511;60;30.79;27;3.8;21.72;26.9;2.7;24.24;27;2.7;14.16;27.6;1;12.81;27.4;2.1;24.67;27.3;2.7
20150511;75;27.71;26.9;3;23.04;26.9;1.8;13.03;27;0.9;16.6;27.7;0.9;20.92;27.4;2.1;13.13;27.3;2.2
20150511;90;32.79;27;3.8;10.06;26.8;1.4;5.95;26.9;1.2;13.62;27.7;0.7;27.44;27.3;2.6;19.95;27.3;2
20150511;105;31.61;27;3.3;4.91;26.8;1;2.33;27;1.4;7.19;27.6;0.6;28.43;27.4;2.8;27.79;27.2;2.5
20150511;120;31;27;3.3;11.78;26.9;1.8;0.35;27;1.7;3.52;27.7;0.8;28.3;27.4;2.4;27.89;27.2;2.8
20150511;135;31;27;3.3;12.25;27;2.1;9.55;27;1.6;8.42;27.8;1.3;28.6;2.4;2.7;29.21;27.3;3.2
20150511;150;31.14;26.9;3.5;11.83;26.9;2;10.1;27;1.7;8.61;27.7;1.3;28.64;27.5;2.5;29.48;27.2;3.1
20150515;15;22.17;32;2.3;14.81;32;1.6;16.05;32;1.7;18.07;31.7;2.2;21.97;31.4;2.6;22.09;31.2;2.2
20150515;30;24.93;32;2.8;10.67;32.1;1.7;20;31.9;2.3;16.89;31.7;1.5;23.87;31.4;2.6;13.59;31.2;1.2
20150515;45;28.39;32;3.7;12.31;32;2.2;23.59;32;3;19.13;31.6;2.1;26.42;31.4;2.9;11.74;31.3;1.3
20150515;60;30.53;32;3.9;26.42;32.1;3.3;24.03;32;2.5;17.65;31.6;2.3;21.89;31.5;3;11.96;31.2;1.9
20150515;75;27.68;32;2.9;29.81;32.1;3.1;15.54;32;1.8;18.49;31.8;3.2;12.91;31.4;2.4;13.49;31.1;2.3
20150515;90;27.85;32;3.5;16.97;32.1;2.3;6.93;32;1.4;14.49;31.5;2.8;20.66;31.3;1.9;30.28;31.2;3.5
20150515;105;32.42;32;3.9;5.51;32;1.3;1.41;31.9;1.4;12.66;31.6;1.9;27.44;31.3;2.5;36.44;31.2;3.8
20150515;120;30.44;32;3.2;11.02;32;1.6;0.89;31.9;1.1;1.61;31.5;1.1;27.86;31.3;2.3;35.08;31.1;3.4
20150515;135;28.77;32;2.5;12.24;32;2.1;8.53;31.9;1;9.48;31.6;1.7;28.13;31.4;2.5;37.92;31.1;3.4
