Date;Horizon;M_S1_Moisture;M_S1_Temperature;M_S1_Salinity;M_S2_Moisture;M_S2_Temperature;M_S2_Salinity;M_S3_Moisture;M_S3_Temperature;M_S3_Salinity;T_S4_Moisture;T_S4_Temperature;T_S4_Salinity;T_S5_Moisture;T_S5_Temperature;T_S5_Salinity;T_S6_Moisture;T_S6_Temperature;T_S6_Salinity
20150423;15;26.93;22.5;3.1;19.99;22.8;1.3;19.92;23.2;1.3;11.47;23.5;1.4;20.21;23.9;2.3;16.53;24;2.3
20150423;30;23;22.5;2.6;21.87;22.9;1.9;13.9;23.4;0.9;15.94;23.7;1.8;18.83;23.9;2.8;13.89;24;2.2
20150423;45;23.84;22.4;3;22.06;22.9;2.9;15.95;23.3;1.3;15.94;23.7;2.5;18.08;24;2.8;15.88;24.1;2.3
20150423;60;21.98;22.5;3.1;21.84;22.9;3;14.5;23.5;1.6;18.57;23.7;3.1;12.61;24;2.1;26.17;24.1;3.2
20150423;75;17.36;22.5;2.6;26.56;23.1;3.1;10.6;23.5;1.9;26.86;23.6;2.8;12.04;24;1.5;27.52;24.1;2.3
20150423;90;22.46;22.6;3;26.76;23;2.5;11.69;23.5;2.4;29.54;23.6;2.8;19.19;24;1.6;32.27;24.1;3.8
20150423;105;27.27;22.6;4.2;26.14;23;2.6;11.39;23.5;2.6;32.49;23.7;2.7;26.33;24.1;2.5;32.21;24.1;4.1
20150423;120;29.54;22.5;4.3;31.17;23;3.5;21.99;23.5;2.2;39.41;23.7;3.2;32.06;24;3.8;34.04;24.1;4.2
20150423;135;30.61;22.6;3.9;34.7;23;3.7;53.9;23.5;3.2;40.2;23.7;3.3;36.1;24;4.1;34.95;24.1;4.3
20150423;150;30.93;22.7;4;34.54;23;3.7;7.94;23.5;3.2;40.94;23.7;3.4;37.62;24;4.1;34.74;24.1;4.3
20150425;15;25.16;25.7;2.9;18.63;25.8;1.3;20.35;25.7;1.4;10.14;25.5;1.4;20.09;25.4;2.3;18.99;25.2;2.1
20150425;30;22.88;25.7;2.8;18.09;25.8;1.6;13.22;25.7;0.9;14.05;25.6;1.5;20.4;25.3;2.7;13.66;25.3;2.2
20150425;45;23.72;25.8;3.1;19.38;25.9;2.6;13.21;25.8;1.1;18.73;25.6;2;22.35;25.4;2.3;12.12;25.2;1.8
20150425;60;22.22;25.7;3.3;20.87;25.9;3;13.05;25.7;1.5;18.73;25.5;2.6;24.26;25.4;2.3;27.3;25.1;3.3
20150425;75;17.27;25.8;2.6;25.83;25.9;3.1;10.41;25.7;2;31.34;25.5;3.2;22.76;25.3;1.7;32.61;25.1;3.5
20150425;90;21.68;25.8;2.9;27.71;25.9;2.8;11.64;25.8;2.5;30.3;25.6;2.7;24.59;25.4;2.2;34.12;25.2;3.7
20150425;105;27.31;25.8;4.1;26.71;25.8;2.7;11.21;25.7;2.6;32.93;25.5;2.8;29.31;25.4;3.2;33.18;25.2;3.8
20150425;120;29.69;25.9;4.2;31.3;25.8;3.4;19.42;25.7;2.2;36.86;25.5;3.1;31.05;25.3;3.6;32.72;25.1;3.6
20150425;135;30.1;25.9;3.8;31.17;25.8;3.6;32.93;25.6;2.8;39.59;25.5;3.3;34.26;25.2;4.1;33.64;25;3.9
20150425;150;30.24;25.9;3.8;32.09;25.9;3.7;36.14;25.6;2.9;40.05;25.5;3.3;35.49;25.2;4.1;33.22;25.1;3.9
